model,split,n_clips,embedding_dim,total_seconds,seconds_per_clip,n_failures
musicnn,train,677,753,1145.1377532482147,1.6914885572351768,0
musicnn,val,141,753,231.74768996238708,1.6436006380311141,0
musicnn,test,153,753,252.24212503433228,1.648641340093675,0
mert,train,677,768,4925.157514333725,7.274974171837112,0
mert,val,141,768,1024.0149629116058,7.262517467458197,0
mert,test,153,768,1157.7185418605804,7.566787855297911,0
